seed,epoch,token,prevP,newP,normBefore,normAfter,sq0_at,sq1_at,sq2_at,sq3_at
1,29,0,1,1,-2.15877848e-02,2.94094678e-01,4.16593256e-01,-1.72841978e-01,-4.55823014e-01,-1.31291488e-01
1,33,1,1,1,-6.22151104e-03,3.45719667e-01,4.72727862e-01,-2.15721941e-01,3.63486449e-01,3.79613883e-01
1,51,0,1,1,-1.15213466e-02,2.94094678e-01,4.29003039e-01,-1.70292555e-01,-4.52016004e-01,-1.42288582e-01
1,58,1,1,1,-3.05940981e-04,3.45719667e-01,4.90946847e-01,-2.01663458e-01,3.92339479e-01,3.57872367e-01
1,71,0,1,1,-3.80619398e-02,2.94094678e-01,4.38507618e-01,-1.80537776e-01,-4.83580045e-01,-1.70572857e-01
1,78,1,1,1,-6.82858098e-03,3.45719667e-01,4.90842346e-01,-1.98986985e-01,4.03327016e-01,3.53097619e-01
1,88,0,1,1,-3.18920156e-03,2.94094678e-01,4.50746644e-01,-1.73530486e-01,-4.53906851e-01,-1.74479621e-01
1,96,1,1,1,-3.00547319e-02,3.45719667e-01,4.79542893e-01,-1.88575838e-01,4.08173828e-01,3.59125453e-01
1,104,0,1,1,-7.13521956e-03,2.94094678e-01,4.53113509e-01,-1.78117907e-01,-4.56508470e-01,-1.89137720e-01
1,112,1,1,1,-2.91617906e-02,3.45719667e-01,4.78665706e-01,-1.83462895e-01,4.05537992e-01,3.57043723e-01
1,119,0,1,1,-9.01731069e-03,2.94094678e-01,4.52285854e-01,-1.77141367e-01,-4.53795411e-01,-1.97556557e-01
1,127,1,1,1,-3.81915752e-02,3.45719667e-01,4.74972541e-01,-1.81773506e-01,4.08206216e-01,3.60832070e-01
1,133,0,1,1,-3.03954399e-03,2.94094678e-01,4.54042917e-01,-1.75953079e-01,-4.45903042e-01,-2.03284230e-01
1,141,1,1,1,-3.52095176e-02,3.45719667e-01,4.74731210e-01,-1.77207369e-01,4.03995866e-01,3.58844021e-01
1,147,0,1,1,-3.38306635e-02,2.94094678e-01,4.44637969e-01,-1.80142082e-01,-4.65456918e-01,-2.17565196e-01
1,154,1,1,1,-2.41411444e-02,3.45719667e-01,4.77737418e-01,-1.78925295e-01,3.99358331e-01,3.53413879e-01
1,160,0,1,1,-2.54404516e-02,2.94094678e-01,4.47017733e-01,-1.73685577e-01,-4.55500389e-01,-2.18978038e-01
1,167,1,1,1,-5.26251205e-02,3.45719667e-01,4.67159910e-01,-1.81689792e-01,4.10742108e-01,3.67648750e-01
1,172,0,1,1,-1.86251928e-03,2.94094678e-01,4.54664636e-01,-1.71666343e-01,-4.36261429e-01,-2.18466815e-01
1,179,1,1,1,-2.84986785e-02,3.45719667e-01,4.73426205e-01,-1.71231315e-01,3.94878578e-01,3.54995946e-01
1,184,0,1,1,-1.55799765e-02,2.94094678e-01,4.49031711e-01,-1.70419938e-01,-4.42618498e-01,-2.24368612e-01
1,191,1,1,1,-5.18498083e-02,3.45719667e-01,4.66019300e-01,-1.75550646e-01,4.06728123e-01,3.66625230e-01
1,196,0,1,1,-4.06815441e-02,2.94094678e-01,4.42426121e-01,-1.76898398e-01,-4.60151461e-01,-2.36592672e-01
1,202,1,1,1,-2.19544262e-02,3.45719667e-01,4.74677821e-01,-1.73219029e-01,3.92193758e-01,3.51372094e-01
1,207,0,1,1,-1.14887960e-02,2.94094678e-01,4.50859652e-01,-1.64053104e-01,-4.35686853e-01,-2.27713876e-01
1,213,1,1,1,-3.40407571e-02,3.45719667e-01,4.68471181e-01,-1.70690742e-01,3.94421102e-01,3.56473461e-01
1,218,0,1,1,-2.51740134e-02,2.94094678e-01,4.46996223e-01,-1.66777036e-01,-4.44095668e-01,-2.35739802e-01
1,224,1,1,1,-5.60802259e-02,3.45719667e-01,4.61283345e-01,-1.74412004e-01,4.04978455e-01,3.67796885e-01
1,229,0,1,1,-4.47905287e-02,2.94094678e-01,4.41431403e-01,-1.72104346e-01,-4.57328965e-01,-2.45198565e-01
1,234,1,1,1,-1.60347825e-02,3.45719667e-01,4.73093327e-01,-1.69904888e-01,3.85056486e-01,3.47060877e-01
1,239,0,1,1,-4.47320516e-03,2.94094678e-01,4.53096879e-01,-1.55906792e-01,-4.25335178e-01,-2.30579489e-01
1,244,1,1,1,-2.06904396e-02,3.45719667e-01,4.68712798e-01,-1.64740587e-01,3.83037856e-01,3.47568107e-01
1,249,0,1,1,-1.18685136e-02,2.94094678e-01,4.50597644e-01,-1.56806088e-01,-4.29199494e-01,-2.35122721e-01
1,254,1,1,1,-3.57937211e-02,3.45719667e-01,4.63218723e-01,-1.66444466e-01,3.89871221e-01,3.55062666e-01
1,259,0,1,1,-2.54246380e-02,2.94094678e-01,4.46224206e-01,-1.60186227e-01,-4.38179241e-01,-2.41245229e-01
1,264,1,1,1,-5.28028835e-02,3.45719667e-01,4.56924237e-01,-1.69336748e-01,3.97834965e-01,3.63297285e-01
1,269,0,1,1,-4.00716417e-02,2.94094678e-01,4.41009271e-01,-1.64062816e-01,-4.47677546e-01,-2.47107752e-01
1,273,1,1,1,-4.31326144e-03,3.45719667e-01,4.77438289e-01,-1.56601244e-01,3.77599481e-01,3.37939585e-01
1,279,0,1,1,-4.82939908e-02,2.94094678e-01,4.44130860e-01,-1.52888029e-01,-4.53363575e-01,-2.51758674e-01
1,282,1,1,1,-3.42117042e-03,3.45719667e-01,4.61309995e-01,-1.72891371e-01,3.65818558e-01,3.35106387e-01
1,288,0,1,1,-4.25130476e-03,2.94094678e-01,4.57248777e-01,-1.38711978e-01,-4.20941834e-01,-2.35322615e-01
1,292,1,1,1,-6.68818033e-02,3.45719667e-01,4.52984381e-01,-1.57712788e-01,4.05028435e-01,3.64557187e-01
1,297,0,1,1,-1.20796490e-02,2.94094678e-01,4.44336000e-01,-1.50983889e-01,-4.21349716e-01,-2.34039913e-01
1,301,1,1,1,-4.22751335e-02,3.45719667e-01,4.61385626e-01,-1.48217854e-01,3.89830782e-01,3.53768742e-01
1,306,0,1,1,-1.13618723e-02,2.94094678e-01,4.42806537e-01,-1.50088535e-01,-4.18046071e-01,-2.34954361e-01
1,310,1,1,1,-5.20643444e-02,3.45719667e-01,4.57939158e-01,-1.47078245e-01,3.92919675e-01,3.59191810e-01
1,315,0,1,1,-2.04033071e-02,2.94094678e-01,4.37510643e-01,-1.51328813e-01,-4.21707543e-01,-2.38499534e-01
1,319,1,1,1,-6.70294785e-02,3.45719667e-01,4.52229861e-01,-1.46870701e-01,3.97921368e-01,3.67111581e-01
1,324,0,1,1,-3.07506469e-02,2.94094678e-01,4.31326660e-01,-1.52378862e-01,-4.25752193e-01,-2.42379293e-01
1,327,1,1,1,-6.70366886e-03,3.45719667e-01,4.50614543e-01,-1.61732947e-01,3.51935199e-01,3.34748110e-01
1,333,0,1,1,-2.90329041e-02,2.94094678e-01,4.56895370e-01,-1.35181632e-01,-4.35332314e-01,-2.57965372e-01
1,336,1,1,1,-3.98779790e-02,3.45719667e-01,4.32284412e-01,-1.74427370e-01,3.68169626e-01,3.48746077e-01
1,342,0,1,1,-6.50582957e-02,2.94094678e-01,4.41036831e-01,-1.41575148e-01,-4.60355521e-01,-2.60169364e-01
1,345,1,1,1,-4.69785928e-02,3.45719667e-01,4.27823117e-01,-1.79282901e-01,3.76212120e-01,3.47301038e-01
1,350,0,1,1,-9.97762428e-03,2.94094678e-01,4.43819648e-01,-1.41669494e-01,-4.18439470e-01,-2.27886286e-01
1,354,1,1,1,-6.77119418e-02,3.45719667e-01,4.67317714e-01,-1.29987538e-01,4.18448648e-01,3.57624490e-01
1,359,0,1,1,-6.96174656e-02,2.94094678e-01,4.04035228e-01,-1.48141646e-01,-4.47039305e-01,-2.34443465e-01
1,362,1,1,1,-5.66820654e-02,3.45719667e-01,4.27357500e-01,-1.56482089e-01,3.75193321e-01,3.50760764e-01
1,368,0,1,1,-5.72334686e-02,2.94094678e-01,4.55033465e-01,-1.27147841e-01,-4.55060771e-01,-2.70878555e-01
1,370,1,1,1,-6.75321326e-03,3.45719667e-01,4.99578028e-01,-1.04096762e-01,3.93419301e-01,3.35244402e-01
1,376,0,1,1,-1.30268884e-02,2.94094678e-01,4.56639401e-01,-8.16750026e-02,-4.15600439e-01,-2.35570608e-01
1,378,1,1,1,-4.11320096e-02,3.45719667e-01,4.56995143e-01,-9.30747779e-02,3.76825887e-01,3.41528529e-01
1,384,0,1,1,-1.45124540e-02,2.94094678e-01,4.53880892e-01,-8.16369644e-02,-4.11578093e-01,-2.40392150e-01
1,386,1,1,1,-4.69961827e-02,3.45719667e-01,4.53430561e-01,-9.30123102e-02,3.76058793e-01,3.46159689e-01
