seed,epoch,token,sq0,sq1,sq2,sq3,N,p
1,0,0,5.46175638e-01,-1.79838377e-02,-5.84570317e-02,-3.34565888e-02,2.94094678e-01,1
1,0,1,5.93551182e-01,-9.87765635e-02,9.27409594e-02,8.79730778e-02,3.45719667e-01,1
1,1,0,5.23035127e-01,-3.99529433e-02,-7.39234218e-02,-1.99153431e-02,2.69300689e-01,1
1,1,1,5.70533677e-01,-1.15139377e-01,8.51226677e-02,1.04781640e-01,3.20540693e-01,1
1,2,0,5.09836406e-01,-5.63228426e-02,-8.55752826e-02,-1.19861182e-02,2.55638627e-01,1
1,2,1,5.57340769e-01,-1.25418132e-01,8.24327381e-02,1.16253903e-01,3.06048314e-01,1
1,3,0,5.01607694e-01,-6.90117549e-02,-9.52823287e-02,-7.23911125e-03,2.47241774e-01,1
1,3,1,5.49040149e-01,-1.31985898e-01,8.24842395e-02,1.24828995e-01,2.96479435e-01,1
1,4,0,4.96156062e-01,-7.90893013e-02,-1.03897922e-01,-4.55282755e-03,2.41610449e-01,1
1,4,1,5.43518504e-01,-1.36144634e-01,8.42928690e-02,1.31661068e-01,2.89507801e-01,1
1,5,0,4.92352535e-01,-8.72399273e-02,-1.11893792e-01,-3.31011340e-03,2.37490646e-01,1
1,5,1,5.39717177e-01,-1.38702533e-01,8.73321354e-02,1.37401288e-01,2.84027008e-01,1
1,6,0,4.89558075e-01,-9.39362971e-02,-1.19564638e-01,-3.13391388e-03,2.34185613e-01,1
1,6,1,5.37049665e-01,-1.40195297e-01,9.12908803e-02,1.42456897e-01,2.79449072e-01,1
1,7,0,4.87386866e-01,-9.95197212e-02,-1.27110943e-01,-3.77866365e-03,2.31278662e-01,1
1,7,1,5.35166434e-01,-1.40990989e-01,9.59744255e-02,1.47099439e-01,2.75432236e-01,1
1,8,0,4.85594569e-01,-1.04243707e-01,-1.34678195e-01,-5.07816443e-03,2.28504832e-01,1
1,8,1,5.33846876e-01,-1.41347679e-01,1.01257522e-01,1.51517894e-01,2.71760896e-01,1
1,9,0,4.84020406e-01,-1.08300324e-01,-1.42377776e-01,-6.91752085e-03,2.25685430e-01,1
1,9,1,5.32945032e-01,-1.41448533e-01,1.07059264e-01,1.55848047e-01,2.68287795e-01,1
1,10,0,4.82555007e-01,-1.11837454e-01,-1.50299169e-01,-9.21665853e-03,2.22692164e-01,1
1,10,1,5.32360400e-01,-1.41424643e-01,1.13328535e-01,1.60190162e-01,2.64904281e-01,1
1,11,0,4.81121594e-01,-1.14970685e-01,-1.58517624e-01,-1.19199964e-02,2.19426323e-01,1
1,11,1,5.32021342e-01,-1.41370559e-01,1.20035016e-01,1.64620300e-01,2.61524095e-01,1
1,12,0,4.79664473e-01,-1.17791798e-01,-1.67099264e-01,-1.49896619e-02,2.15806060e-01,1
1,12,1,5.31875180e-01,-1.41355149e-01,1.27163372e-01,1.69197883e-01,2.58074038e-01,1
1,13,0,4.78141745e-01,-1.20374982e-01,-1.76104652e-01,-1.84008804e-02,2.11758224e-01,1
1,13,1,5.31882017e-01,-1.41429343e-01,1.34709365e-01,1.73970912e-01,2.54488247e-01,1
1,14,0,4.76520519e-01,-1.22781467e-01,-1.85591384e-01,-2.21387659e-02,2.07212807e-01,1
1,14,1,5.32010707e-01,-1.41631737e-01,1.42677198e-01,1.78979641e-01,2.50704447e-01,1
1,15,0,4.74773689e-01,-1.25063031e-01,-1.95616046e-01,-2.61960486e-02,2.02098947e-01,1
1,15,1,5.32236127e-01,-1.41992707e-01,1.51077663e-01,1.84259210e-01,2.46661307e-01,1
1,16,0,4.72877668e-01,-1.27264714e-01,-2.06235725e-01,-3.05714424e-02,1.96341809e-01,1
1,16,1,5.32537248e-01,-1.42537465e-01,1.59926847e-01,1.89841546e-01,2.42296441e-01,1
1,17,0,4.70810772e-01,-1.29426960e-01,-2.17509206e-01,-3.52684530e-02,1.89860003e-01,1
1,17,1,5.32895725e-01,-1.43288367e-01,1.69245188e-01,1.95756741e-01,2.37544774e-01,1
1,18,0,4.68552002e-01,-1.31587350e-01,-2.29497926e-01,-4.02944889e-02,1.82563266e-01,1
1,18,1,5.33294820e-01,-1.44266706e-01,1.79056799e-01,2.02034036e-01,2.32337158e-01,1
1,19,0,4.66080092e-01,-1.33782071e-01,-2.42266720e-01,-4.56601667e-02,1.74350280e-01,1
1,19,1,5.33718557e-01,-1.45494135e-01,1.89388928e-01,2.08702507e-01,2.26599140e-01,1
1,20,0,4.63372735e-01,-1.36047196e-01,-2.55884358e-01,-5.13787295e-02,1.65106553e-01,1
1,20,1,5.34151035e-01,-1.46993847e-01,2.00271511e-01,2.15791491e-01,2.20249874e-01,1
1,21,0,4.60405920e-01,-1.38419882e-01,-2.70423847e-01,-5.74655020e-02,1.54702334e-01,1
1,21,1,5.34575850e-01,-1.48791588e-01,2.11736723e-01,2.23330779e-01,2.13201200e-01,1
1,22,0,4.57153335e-01,-1.40939524e-01,-2.85962420e-01,-6.39373109e-02,1.42990636e-01,1
1,22,1,5.34975634e-01,-1.50916577e-01,2.23818488e-01,2.31350577e-01,2.05356937e-01,1
1,23,0,4.53585832e-01,-1.43648936e-01,-3.02581121e-01,-7.08117967e-02,1.29805478e-01,1
1,23,1,5.35331672e-01,-1.53402353e-01,2.36551845e-01,2.39881190e-01,1.96612520e-01,1
1,24,0,4.49670936e-01,-1.46595582e-01,-3.20363800e-01,-7.81065326e-02,1.14960621e-01,1
1,24,1,5.35623659e-01,-1.56287594e-01,2.49972119e-01,2.48952414e-01,1.86855152e-01,1
1,25,0,4.45372446e-01,-1.49832900e-01,-3.39395312e-01,-8.58378602e-02,9.82491974e-02,1
1,25,1,5.35829607e-01,-1.59616887e-01,2.64113782e-01,2.58592522e-01,1.75964735e-01,1
1,26,0,4.40650163e-01,-1.53421689e-01,-3.59758609e-01,-9.40193406e-02,7.94448878e-02,1
1,26,1,5.35925996e-01,-1.63441422e-01,2.79008909e-01,2.68826803e-01,1.63815950e-01,1
1,27,0,4.35459888e-01,-1.57431554e-01,-3.81530385e-01,-1.02659724e-01,5.83055547e-02,1
1,27,1,5.35888272e-01,-1.67819556e-01,2.94685103e-01,2.79675505e-01,1.50281945e-01,1
1,28,0,4.29753837e-01,-1.61942261e-01,-4.04774841e-01,-1.11760364e-01,3.45806050e-02,1
1,28,1,5.35691825e-01,-1.72817111e-01,3.11162795e-01,2.91151131e-01,1.35240219e-01,1
1,29,0,4.23481777e-01,-1.67044831e-01,-4.29535238e-01,-1.21312066e-01,8.02365291e-03,1
1,29,1,5.35313631e-01,-1.78507223e-01,3.28451815e-01,3.03254984e-01,1.18581332e-01,1
1,30,0,5.46175638e-01,-1.79838377e-02,-5.84570317e-02,-3.34565888e-02,2.94094678e-01,1
1,30,1,5.34734730e-01,-1.84969466e-01,3.46547255e-01,3.15973020e-01,1.00220986e-01,1
1,31,0,5.31675281e-01,-4.18485321e-02,-8.42936174e-02,-3.48158249e-02,2.76112349e-01,1
1,31,1,5.11567745e-01,-2.00889693e-01,3.40996021e-01,3.32871870e-01,7.49762581e-02,1
1,32,0,5.26939805e-01,-5.90123817e-02,-1.04845490e-01,-4.03364764e-02,2.68528411e-01,1
1,32,1,4.96456630e-01,-2.08742985e-01,3.44774773e-01,3.48400958e-01,4.97899479e-02,1
1,33,0,5.26645764e-01,-7.23456724e-02,-1.23527943e-01,-4.85197310e-02,2.64976340e-01,1
1,33,1,4.84129912e-01,-2.12989631e-01,3.52899787e-01,3.63769853e-01,2.28795896e-02,1
1,34,0,5.28809505e-01,-8.32965078e-02,-1.41675803e-01,-5.87063555e-02,2.63059331e-01,1
1,34,1,5.93551182e-01,-9.87765635e-02,9.27409594e-02,8.79730778e-02,3.45719667e-01,1
1,35,0,5.15426101e-01,-9.84344430e-02,-1.54289910e-01,-5.22558135e-02,2.48817359e-01,1
1,35,1,5.81381574e-01,-1.11534316e-01,9.47030680e-02,1.01357164e-01,3.31202493e-01,1
1,36,0,5.07456779e-01,-1.08497758e-01,-1.65750526e-01,-5.02025492e-02,2.39290613e-01,1
1,36,1,5.75149262e-01,-1.18972333e-01,9.96870893e-02,1.10922835e-01,3.22709699e-01,1
1,37,0,5.02036818e-01,-1.15571562e-01,-1.76925461e-01,-5.06179286e-02,2.31532959e-01,1
1,37,1,5.71864946e-01,-1.23460391e-01,1.06541646e-01,1.18634021e-01,3.16846832e-01,1
1,38,0,4.97893508e-01,-1.20804181e-01,-1.88265818e-01,-5.25841746e-02,2.24282482e-01,1
1,38,1,5.70209425e-01,-1.26288257e-01,1.14722913e-01,1.25449303e-01,3.12188638e-01,1
1,39,0,4.94377192e-01,-1.24884706e-01,-2.00047172e-01,-5.56102497e-02,2.16893627e-01,1
1,39,1,5.69513285e-01,-1.28211740e-01,1.23948992e-01,1.31899840e-01,3.08022712e-01,1
1,40,0,4.91123351e-01,-1.28248118e-01,-2.12459234e-01,-5.94177469e-02,2.08980331e-01,1
1,40,1,5.69404232e-01,-1.29692072e-01,1.34070896e-01,1.38303802e-01,3.03938267e-01,1
1,41,0,4.87911331e-01,-1.31179981e-01,-2.25646706e-01,-6.38450380e-02,2.00273029e-01,1
1,41,1,5.69661211e-01,-1.31019176e-01,1.45013925e-01,1.44863311e-01,2.99665503e-01,1
1,42,0,4.84597483e-01,-1.33875474e-01,-2.39730404e-01,-6.87984827e-02,1.90553466e-01,1
1,42,1,5.70145948e-01,-1.32381150e-01,1.56747401e-01,1.51713998e-01,2.95004286e-01,1
1,43,0,4.81080495e-01,-1.36474715e-01,-2.54818990e-01,-7.42253651e-02,1.79621668e-01,1
1,43,1,5.70767615e-01,-1.33905544e-01,1.69267563e-01,1.58952316e-01,2.89789018e-01,1
1,44,0,4.77282094e-01,-1.39084769e-01,-2.71015654e-01,-8.00979238e-02,1.67277608e-01,1
1,44,1,5.71463220e-01,-1.35684701e-01,1.82587215e-01,1.66651208e-01,2.83869834e-01,1
1,45,0,4.73135725e-01,-1.41793821e-01,-2.88421701e-01,-8.64034064e-02,1.53310275e-01,1
1,45,1,5.72186132e-01,-1.37791677e-01,1.96728990e-01,1.74869178e-01,2.77101991e-01,1
1,46,0,4.68579608e-01,-1.44680613e-01,-3.07137968e-01,-9.31374807e-02,1.37491007e-01,1
1,46,1,5.72899128e-01,-1.40290416e-01,2.11720554e-01,1.83655316e-01,2.69339943e-01,1
1,47,0,4.63552402e-01,-1.47821000e-01,-3.27264420e-01,-1.00299477e-01,1.19569892e-01,1
1,47,1,5.73570150e-01,-1.43242356e-01,2.27590770e-01,1.93051680e-01,2.60434579e-01,1
1,48,0,4.57990533e-01,-1.51292713e-01,-3.48897913e-01,-1.07888532e-01,9.92751239e-02,1
1,48,1,5.74169826e-01,-1.46710738e-01,2.44366160e-01,2.03093763e-01,2.50233133e-01,1
1,49,0,4.51826787e-01,-1.55178988e-01,-3.72127887e-01,-1.15900026e-01,7.63159834e-02,1
1,49,1,5.74670273e-01,-1.50763339e-01,2.62067225e-01,2.13809412e-01,2.38581812e-01,1
1,50,0,4.44990093e-01,-1.59571343e-01,-3.97029565e-01,-1.24321958e-01,5.03907717e-02,1
1,50,1,5.75044998e-01,-1.55473978e-01,2.80704307e-01,2.25216383e-01,2.25331581e-01,1
1,51,0,4.37406676e-01,-1.64571553e-01,-4.23654196e-01,-1.33131039e-01,2.12016452e-02,1
1,51,1,5.75269888e-01,-1.60922883e-01,3.00272773e-01,2.37318622e-01,2.10347752e-01,1
1,52,0,5.46175638e-01,-1.79838377e-02,-5.84570317e-02,-3.34565888e-02,2.94094678e-01,1
1,52,1,5.75325375e-01,-1.67195751e-01,3.20747506e-01,2.50101396e-01,1.93524036e-01,1
1,53,0,5.28084826e-01,-4.47780802e-02,-8.52189488e-02,-3.14465821e-02,2.72627503e-01,1
1,53,1,5.50416197e-01,-1.85021213e-01,3.16071000e-01,2.68052510e-01,1.65437814e-01,1
1,54,0,5.22233889e-01,-6.21468360e-02,-1.06100290e-01,-3.56067280e-02,2.64065353e-01,1
1,54,1,5.36831856e-01,-1.91707435e-01,3.22378287e-01,2.82548225e-01,1.41178922e-01,1
1,55,0,5.21000891e-01,-7.48048076e-02,-1.25445303e-01,-4.29971278e-02,2.59452411e-01,1
1,55,1,5.26799245e-01,-1.94374036e-01,3.33073728e-01,2.96289288e-01,1.16573261e-01,1
1,56,0,5.21993422e-01,-8.47660772e-02,-1.44699106e-01,-5.25696698e-02,2.55961019e-01,1
1,56,1,5.17975381e-01,-1.95768699e-01,3.46052220e-01,3.10300035e-01,9.05856285e-02,1
1,57,0,5.24236054e-01,-9.31160479e-02,-1.64515082e-01,-6.38464375e-02,2.52352459e-01,1
1,57,1,5.09370219e-01,-1.97114502e-01,3.60464754e-01,3.25071103e-01,6.27060859e-02,1
1,58,0,5.27273052e-01,-1.00531207e-01,-1.85236509e-01,-7.65716903e-02,2.47947607e-01,1
1,58,1,5.00466351e-01,-1.98986156e-01,3.75945053e-01,3.40873018e-01,3.25329622e-02,1
1,59,0,5.30865390e-01,-1.07489785e-01,-2.07052900e-01,-9.05786128e-02,2.42296728e-01,1
1,59,1,5.93551182e-01,-9.87765635e-02,9.27409594e-02,8.79730778e-02,3.45719667e-01,1
1,60,0,5.17509787e-01,-1.21725413e-01,-2.21616031e-01,-8.67490007e-02,2.25994402e-01,1
1,60,1,5.82930280e-01,-1.11666100e-01,1.00156652e-01,1.02361524e-01,3.31767793e-01,1
1,61,0,5.09746962e-01,-1.30029818e-01,-2.36186519e-01,-8.79490262e-02,2.13230616e-01,1
1,61,1,5.78615223e-01,-1.18458326e-01,1.10656131e-01,1.12959855e-01,3.23823243e-01,1
1,62,0,5.04133131e-01,-1.35510204e-01,-2.51433377e-01,-9.16286448e-02,2.00898678e-01,1
1,62,1,5.77003703e-01,-1.22461727e-01,1.23112949e-01,1.22194711e-01,3.17841802e-01,1
1,63,0,4.99315948e-01,-1.39629101e-01,-2.67696296e-01,-9.67412411e-02,1.87792527e-01,1
1,63,1,5.76686336e-01,-1.25228804e-01,1.37068255e-01,1.31094554e-01,3.12275895e-01,1
1,64,0,4.94658974e-01,-1.43148305e-01,-2.85189545e-01,-1.02799409e-01,1.73278143e-01,1
1,64,1,5.77012494e-01,-1.27559227e-01,1.52323368e-01,1.40166553e-01,3.06365704e-01,1
1,65,0,4.89821573e-01,-1.46494218e-01,-3.04071675e-01,-1.09563544e-01,1.56921975e-01,1
1,65,1,5.77650415e-01,-1.29892820e-01,1.68797253e-01,1.49685777e-01,2.99653802e-01,1
1,66,0,4.84597346e-01,-1.49925969e-01,-3.24473431e-01,-1.16912523e-01,1.38360838e-01,1
1,66,1,5.78417066e-01,-1.32491048e-01,1.86463602e-01,1.59813513e-01,2.91811147e-01,1
1,67,0,4.78842879e-01,-1.53619714e-01,-3.46508132e-01,-1.24782272e-01,1.17251018e-01,1
1,67,1,5.79202389e-01,-1.35527624e-01,2.05318307e-01,1.70650682e-01,2.82565881e-01,1
1,68,0,4.72444030e-01,-1.57712932e-01,-3.70272792e-01,-1.33133649e-01,9.32502214e-02,1
1,68,1,5.79932812e-01,-1.39135295e-01,2.25360080e-01,1.82262095e-01,2.71674060e-01,1
1,69,0,4.65300083e-01,-1.62328327e-01,-3.95843056e-01,-1.41934007e-01,6.60176648e-02,1
1,69,1,5.80553378e-01,-1.43429997e-01,2.46576964e-01,1.94685980e-01,2.58911559e-01,1
1,70,0,4.57317666e-01,-1.67586665e-01,-4.23263095e-01,-1.51145336e-01,3.52281782e-02,1
1,70,1,5.81019736e-01,-1.48522485e-01,2.68935457e-01,2.07935330e-01,2.44079480e-01,1
1,71,0,4.48411059e-01,-1.73612962e-01,-4.52530942e-01,-1.60715711e-01,6.00145193e-04,1
1,71,1,5.81296065e-01,-1.54522331e-01,2.92370863e-01,2.21994430e-01,2.27020018e-01,1
1,72,0,5.46175638e-01,-1.79838377e-02,-5.84570317e-02,-3.34565888e-02,2.94094678e-01,1
1,72,1,5.81357072e-01,-1.61536507e-01,3.16778695e-01,2.36812667e-01,2.07641108e-01,1
1,73,0,5.24833370e-01,-4.81178459e-02,-8.77314634e-02,-3.15547366e-02,2.69072883e-01,1
1,73,1,5.52433780e-01,-1.82518949e-01,3.11710340e-01,2.56045249e-01,1.75773743e-01,1
1,74,0,5.19537445e-01,-6.54538924e-02,-1.09996843e-01,-3.76079679e-02,2.60689704e-01,1
1,74,1,5.38817660e-01,-1.88349708e-01,3.20612024e-01,2.70995083e-01,1.49569678e-01,1
1,75,0,5.19153507e-01,-7.74500269e-02,-1.31120615e-01,-4.72129476e-02,2.56097192e-01,1
1,75,1,5.28949031e-01,-1.90132830e-01,3.34046156e-01,2.85469757e-01,1.22857754e-01,1
1,76,0,5.20884193e-01,-8.67103616e-02,-1.52656541e-01,-5.91192641e-02,2.52039922e-01,1
1,76,1,5.20024152e-01,-1.91211121e-01,3.49619573e-01,3.00571587e-01,9.44096868e-02,1
1,77,0,5.23711223e-01,-9.45027097e-02,-1.75215552e-01,-7.28121925e-02,2.47202102e-01,1
1,77,1,5.10991838e-01,-1.92792610e-01,3.66517601e-01,3.16748123e-01,6.36171241e-02,1
1,78,0,5.27181964e-01,-1.01582631e-01,-1.99071205e-01,-8.80132384e-02,2.40864180e-01,1
1,78,1,5.01356521e-01,-1.95328238e-01,3.84451834e-01,3.34217607e-01,3.00068605e-02,1
1,79,0,5.31047325e-01,-1.08483223e-01,-2.24329761e-01,-1.04512630e-01,2.32533140e-01,1
1,79,1,5.93551182e-01,-9.87765635e-02,9.27409594e-02,8.79730778e-02,3.45719667e-01,1
1,80,0,5.15192729e-01,-1.24992912e-01,-2.40742013e-01,-1.00993093e-01,2.12890454e-01,1
1,80,1,5.81407144e-01,-1.13045442e-01,1.02720285e-01,1.04225612e-01,3.29399104e-01,1
1,81,0,5.06903998e-01,-1.33462163e-01,-2.57721963e-01,-1.04036337e-01,1.97519643e-01,1
1,81,1,5.77666069e-01,-1.19238618e-01,1.16541083e-01,1.15910045e-01,3.20898972e-01,1
1,82,0,5.00858292e-01,-1.38887852e-01,-2.75950103e-01,-1.09785890e-01,1.81947463e-01,1
1,82,1,5.76807998e-01,-1.22581423e-01,1.32615521e-01,1.26490939e-01,3.14146838e-01,1
1,83,0,4.95353568e-01,-1.43178736e-01,-2.95725948e-01,-1.16967037e-01,1.64740184e-01,1
1,83,1,5.77072943e-01,-1.25044906e-01,1.50422147e-01,1.37142507e-01,3.07214520e-01,1
1,84,0,4.89693031e-01,-1.47184320e-01,-3.17230504e-01,-1.25075774e-01,1.45183347e-01,1
1,84,1,5.77759508e-01,-1.27483725e-01,1.69770938e-01,1.48353449e-01,2.99227232e-01,1
1,85,0,4.83538082e-01,-1.51330888e-01,-3.40593623e-01,-1.33894063e-01,1.22778478e-01,1
1,85,1,5.78550583e-01,-1.30311049e-01,1.90590635e-01,1.60350734e-01,2.89664598e-01,1
1,86,0,4.76691322e-01,-1.55869241e-01,-3.65910938e-01,-1.43314631e-01,9.70999383e-02,1
1,86,1,5.79283913e-01,-1.33760504e-01,2.12844176e-01,1.73245815e-01,2.78144968e-01,1
1,87,0,4.69014067e-01,-1.60979662e-01,-3.93241185e-01,-1.53267173e-01,6.77591908e-02,1
1,87,1,5.79862560e-01,-1.37995143e-01,2.36487354e-01,1.87088210e-01,2.64354982e-01,1
1,88,0,4.60395719e-01,-1.66817325e-01,-4.22593261e-01,-1.63683571e-01,3.44148617e-02,1
1,88,1,5.80219351e-01,-1.43152108e-01,2.61444521e-01,2.01882105e-01,2.48037400e-01,1
1,89,0,5.46175638e-01,-1.79838377e-02,-5.84570317e-02,-3.34565888e-02,2.94094678e-01,1
1,89,1,5.80305208e-01,-1.49357725e-01,2.87592129e-01,2.17586882e-01,2.29008580e-01,1
1,90,0,5.23516535e-01,-4.91500932e-02,-8.72370575e-02,-3.15184481e-02,2.67881578e-01,1
1,90,1,5.50900303e-01,-1.69757919e-01,2.84787487e-01,2.37112182e-01,1.94982795e-01,1
1,91,0,5.18746096e-01,-6.55808647e-02,-1.09211728e-01,-3.85898364e-02,2.59981985e-01,1
1,91,1,5.38338580e-01,-1.73712862e-01,2.96023594e-01,2.51992618e-01,1.68854337e-01,1
1,92,0,5.18727030e-01,-7.65928161e-02,-1.30597147e-01,-4.92802445e-02,2.55460034e-01,1
1,92,1,5.29216787e-01,-1.74378882e-01,3.11279692e-01,2.66703569e-01,1.42452562e-01,1
1,93,0,5.20594236e-01,-8.50213269e-02,-1.52821425e-01,-6.22849474e-02,2.51013182e-01,1
1,93,1,5.20700500e-01,-1.74993300e-01,3.28410435e-01,2.82317569e-01,1.14195043e-01,1
1,94,0,5.23370888e-01,-9.21635568e-02,-1.76399640e-01,-7.71031414e-02,2.45349480e-01,1
1,94,1,5.11811659e-01,-1.76527559e-01,3.46787849e-01,2.99229284e-01,8.33131768e-02,1
1,95,0,5.26628004e-01,-9.87772996e-02,-2.01535209e-01,-9.34604085e-02,2.37742721e-01,1
1,95,1,5.02123025e-01,-1.79263096e-01,3.66234467e-01,3.17619891e-01,4.92527104e-02,1
1,96,0,5.30115328e-01,-1.05399688e-01,-2.28272785e-01,-1.11131884e-01,2.27672595e-01,1
1,96,1,4.91410454e-01,-1.83271471e-01,3.86706739e-01,3.37577882e-01,1.15717380e-02,1
1,97,0,5.33640689e-01,-1.12461271e-01,-2.56536020e-01,-1.29875468e-01,2.14741555e-01,1
1,97,1,5.93551182e-01,-9.87765635e-02,9.27409594e-02,8.79730778e-02,3.45719667e-01,1
1,98,0,5.13219110e-01,-1.33384521e-01,-2.74603831e-01,-1.25012551e-01,1.90149883e-01,1
1,98,1,5.79263010e-01,-1.15124601e-01,1.06067231e-01,1.07268752e-01,3.26042466e-01,1
1,99,0,5.03797859e-01,-1.42617668e-01,-2.94297125e-01,-1.29587680e-01,1.70748317e-01,1
1,99,1,5.76691881e-01,-1.20442914e-01,1.24104862e-01,1.20527701e-01,3.17151078e-01,1
1,100,0,4.96586822e-01,-1.48587208e-01,-3.15938367e-01,-1.37153028e-01,1.50048626e-01,1
