seed,q_x,q_y,label,w0,w1,w2,w3,w4,w5,w6,w7,pred
1,0.617624,-0.447391,0,0.246676,0.045140,0.043824,0.231823,0.052529,0.002484,0.211377,0.166148,1
1,1.087371,0.434917,0,0.095867,0.045491,0.008303,0.061698,0.052274,0.024682,0.081584,0.630101,0
1,1.698967,0.091366,0,0.061798,0.007493,0.001735,0.047560,0.009295,0.002291,0.042729,0.827099,0
1,1.299359,-0.349381,0,0.166801,0.015443,0.008976,0.154089,0.018993,0.001409,0.120894,0.513393,0
1,0.936002,0.185984,0,0.144644,0.053707,0.015862,0.103507,0.061830,0.015163,0.123950,0.481335,1
1,0.947015,0.537749,0,0.097170,0.065761,0.010932,0.059377,0.074140,0.043089,0.087007,0.562523,1
1,0.813175,0.258697,0,0.146467,0.071994,0.020150,0.100945,0.081600,0.023010,0.130922,0.424913,1
1,0.861655,0.259051,0,0.142045,0.065754,0.017936,0.098070,0.074853,0.021445,0.125356,0.454541,1
1,0.578039,0.301563,0,0.154049,0.109497,0.032312,0.103178,0.121180,0.035277,0.147384,0.297122,1
1,0.944571,-0.421693,0,0.223767,0.028455,0.022359,0.210578,0.034049,0.001897,0.176448,0.302447,1
1,0.952970,0.695875,0,0.078387,0.069395,0.008905,0.044619,0.077512,0.066413,0.071568,0.583202,0
1,1.569017,-0.105355,0,0.095524,0.009665,0.003291,0.079911,0.011996,0.001757,0.066592,0.731264,0
1,1.065789,0.259549,0,0.119751,0.042984,0.010536,0.083329,0.049838,0.015229,0.100128,0.578206,0
1,1.513819,0.061945,0,0.085335,0.012389,0.003312,0.066064,0.015142,0.003280,0.061724,0.752755,0
1,0.975868,0.215413,0,0.136132,0.050624,0.013964,0.096285,0.058383,0.015577,0.115884,0.513152,1
1,0.999290,-0.268018,0,0.199020,0.030907,0.018409,0.175150,0.036812,0.003037,0.157874,0.378791,1
1,0.892071,0.382073,0,0.122178,0.067490,0.014851,0.079904,0.076451,0.029862,0.108724,0.500539,1
1,0.468868,-0.150100,0,0.217675,0.080614,0.052277,0.177895,0.090863,0.008483,0.201853,0.170340,1
1,0.640763,0.026204,0,0.191283,0.077731,0.034660,0.145383,0.088009,0.013331,0.173513,0.276089,1
1,0.775418,0.219791,0,0.155158,0.074703,0.022708,0.108662,0.084587,0.021437,0.139360,0.393385,1
1,1.207769,-0.031984,0,0.138802,0.025078,0.009149,0.110750,0.029991,0.004698,0.107520,0.574012,0
1,0.386359,-0.018998,0,0.200646,0.103569,0.056710,0.154077,0.114929,0.014407,0.193520,0.162141,1
1,1.123719,-0.265653,0,0.182253,0.024325,0.013529,0.161013,0.029295,0.002526,0.139932,0.447126,0
1,1.687281,0.131021,0,0.059877,0.007895,0.001725,0.045246,0.009759,0.002641,0.041749,0.831109,0
1,1.304713,-0.010179,0,0.121937,0.020273,0.006789,0.096713,0.024425,0.004158,0.092330,0.633374,0
1,0.337144,0.807107,1,0.079782,0.185243,0.027350,0.042157,0.194386,0.180594,0.087022,0.203466,1
1,1.038611,0.801198,1,0.061905,0.059177,0.006126,0.033719,0.066175,0.075310,0.056033,0.641554,0
1,0.608700,0.784250,1,0.083670,0.132925,0.017684,0.045150,0.143146,0.136806,0.084673,0.355947,1
1,0.286962,0.909319,1,0.065281,0.192914,0.024781,0.032878,0.200243,0.235123,0.073146,0.175634,1
1,0.997118,1.300882,1,0.026506,0.063846,0.003009,0.011510,0.068950,0.262592,0.025925,0.537661,0
1,0.402317,0.430242,1,0.136202,0.150976,0.039642,0.085494,0.163146,0.061592,0.138874,0.224074,1
1,0.296431,1.227181,1,0.032305,0.164320,0.012561,0.014106,0.167362,0.428474,0.037668,0.143204,0
1,0.974453,1.129901,1,0.037961,0.069792,0.004389,0.017788,0.076023,0.189335,0.036512,0.568199,0
1,0.784605,0.280108,1,0.145752,0.077076,0.021150,0.099376,0.087019,0.025628,0.131647,0.412352,1
1,0.292054,0.708026,1,0.092466,0.191067,0.033899,0.050996,0.200920,0.144500,0.100731,0.185420,1
1,0.711614,0.415647,1,0.131218,0.096315,0.022047,0.083929,0.107118,0.042948,0.123033,0.393392,1
1,-0.315092,-0.031516,1,0.149606,0.181625,0.146141,0.112373,0.189345,0.018524,0.173452,0.028934,1
1,0.905805,0.795405,1,0.070661,0.078947,0.008839,0.038387,0.087264,0.093968,0.066197,0.555737,0
1,0.861531,0.558625,1,0.101449,0.079238,0.013314,0.061205,0.088533,0.052730,0.093176,0.510356,1
1,0.551728,1.249067,1,0.033382,0.128200,0.008283,0.014580,0.133430,0.390027,0.036485,0.255614,0
