seed,q_x,q_y,label,w0,w1,w2,w3,pred
1,0.617624,0.552609,0,0.102221,0.757261,0.050433,0.090085,0
1,1.087371,1.434917,0,0.009398,0.979481,0.004502,0.006620,0
1,1.698967,1.091366,0,0.030395,0.951602,0.001628,0.016375,0
1,1.299359,0.650619,0,0.096178,0.833178,0.008257,0.062386,0
1,0.936002,1.185984,0,0.019268,0.956347,0.009806,0.014580,0
1,0.947015,1.537749,0,0.006641,0.982940,0.005445,0.004973,0
1,0.813175,1.258697,0,0.015032,0.961021,0.011943,0.012004,0
1,0.861655,1.259051,0,0.015196,0.962369,0.010560,0.011875,0
1,0.578039,1.301563,0,0.012437,0.956366,0.020172,0.011025,0
1,0.944571,0.578307,0,0.105922,0.791555,0.021908,0.080614,0
1,0.952970,1.695875,0,0.004089,0.988722,0.004142,0.003046,0
1,1.569017,0.894645,0,0.052385,0.914584,0.003028,0.030003,0
1,1.065789,1.259549,0,0.015930,0.966418,0.006290,0.011362,0
1,1.513819,1.061945,0,0.031831,0.946801,0.002729,0.018638,0
1,0.975868,1.215413,0,0.017811,0.960487,0.008468,0.013234,0
1,0.999290,0.731982,0,0.072063,0.858561,0.015986,0.053390,0
1,0.892071,1.382073,0,0.010549,0.973288,0.008046,0.008116,0
1,0.468868,0.849900,0,0.044669,0.862341,0.051114,0.041877,0
1,0.640763,1.026204,0,0.028593,0.920454,0.026199,0.024754,0
1,0.775418,1.219791,0,0.016735,0.955707,0.013957,0.013600,0
1,1.207769,0.968016,0,0.039088,0.927790,0.006838,0.026283,0
1,0.386359,0.981002,0,0.030058,0.888529,0.052236,0.029178,0
1,1.123719,0.734347,0,0.073859,0.862741,0.011644,0.051756,0
1,1.687281,1.131021,0,0.026946,0.956892,0.001578,0.014584,0
1,1.304713,0.989821,0,0.037519,0.933155,0.005177,0.024149,0
1,0.630037,-0.900000,1,0.491243,0.039459,0.028807,0.440491,1
1,1.331504,-0.905909,1,0.577612,0.039092,0.004803,0.378492,1
1,0.901593,-0.922857,1,0.528640,0.037273,0.014128,0.419959,1
1,0.579855,-0.797788,1,0.474993,0.053022,0.037097,0.434887,1
1,1.290011,-0.406225,1,0.498756,0.161346,0.009568,0.330331,1
1,0.695211,-1.276865,1,0.518394,0.012702,0.014733,0.454171,1
1,0.589324,-0.479926,1,0.429720,0.128753,0.051710,0.389817,1
1,1.267347,-0.577206,1,0.532550,0.101681,0.008501,0.357269,1
