seed,epoch,entry,k_x,k_y
1,0,0,1.00449400e-01,-3.99228010e-01
1,0,1,-3.97117457e-01,2.83857362e-01
1,0,2,-4.66025830e-01,-2.77398942e-01
1,0,3,1.10603220e-01,-4.71672901e-01
1,1,0,1.00521786e-01,-3.99386078e-01
1,1,1,-3.96954298e-01,2.84033750e-01
1,1,2,-4.66725547e-01,-2.77781811e-01
1,1,3,1.11174522e-01,-4.71288483e-01
1,2,0,1.00609661e-01,-3.99551056e-01
1,2,1,-3.96760419e-01,2.84244188e-01
1,2,2,-4.67452269e-01,-2.78191040e-01
1,2,3,1.11737007e-01,-4.70914457e-01
1,3,0,1.00713075e-01,-3.99722981e-01
1,3,1,-3.96536035e-01,2.84488707e-01
1,3,2,-4.68206030e-01,-2.78626758e-01
1,3,3,1.12291014e-01,-4.70550710e-01
1,4,0,1.00832104e-01,-3.99901908e-01
1,4,1,-3.96281313e-01,2.84767389e-01
1,4,2,-4.68986908e-01,-2.79089127e-01
1,4,3,1.12836870e-01,-4.70197155e-01
1,5,0,1.00966849e-01,-4.00087907e-01
1,5,1,-3.95996373e-01,2.85080364e-01
1,5,2,-4.69795025e-01,-2.79578338e-01
1,5,3,1.13374892e-01,-4.69853730e-01
1,6,0,1.01117437e-01,-4.00281067e-01
1,6,1,-3.95681288e-01,2.85427812e-01
1,6,2,-4.70630546e-01,-2.80094611e-01
1,6,3,1.13905392e-01,-4.69520392e-01
1,7,0,1.01284019e-01,-4.00481493e-01
1,7,1,-3.95336088e-01,2.85809960e-01
1,7,2,-4.71493678e-01,-2.80638196e-01
1,7,3,1.14428673e-01,-4.69197122e-01
1,8,0,1.01466773e-01,-4.00689306e-01
1,8,1,-3.94960759e-01,2.86227080e-01
1,8,2,-4.72384672e-01,-2.81209371e-01
1,8,3,1.14945034e-01,-4.68883925e-01
1,9,0,1.01665906e-01,-4.00904643e-01
1,9,1,-3.94555243e-01,2.86679492e-01
1,9,2,-4.73303825e-01,-2.81808445e-01
1,9,3,1.15454768e-01,-4.68580824e-01
1,10,0,1.01881648e-01,-4.01127659e-01
1,10,1,-3.94119441e-01,2.87167564e-01
1,10,2,-4.74251474e-01,-2.82435753e-01
1,10,3,1.15958167e-01,-4.68287866e-01
1,11,0,1.02114258e-01,-4.01358525e-01
1,11,1,-3.93653209e-01,2.87691707e-01
1,11,2,-4.75228005e-01,-2.83091662e-01
1,11,3,1.16455517e-01,-4.68005121e-01
1,12,0,1.02364025e-01,-4.01597429e-01
1,12,1,-3.93156364e-01,2.88252380e-01
1,12,2,-4.76233845e-01,-2.83776564e-01
1,12,3,1.16947104e-01,-4.67732677e-01
1,13,0,1.02631265e-01,-4.01844578e-01
1,13,1,-3.92628677e-01,2.88850088e-01
1,13,2,-4.77269468e-01,-2.84490883e-01
1,13,3,1.17433216e-01,-4.67470648e-01
1,14,0,1.02916322e-01,-4.02100195e-01
1,14,1,-3.92069880e-01,2.89485383e-01
1,14,2,-4.78335395e-01,-2.85235071e-01
1,14,3,1.17914137e-01,-4.67219167e-01
1,15,0,1.03219575e-01,-4.02364524e-01
1,15,1,-3.91479658e-01,2.90158864e-01
1,15,2,-4.79432194e-01,-2.86009610e-01
1,15,3,1.18390155e-01,-4.66978392e-01
1,16,0,1.03541429e-01,-4.02637826e-01
1,16,1,-3.90857657e-01,2.90871178e-01
1,16,2,-4.80560481e-01,-2.86815010e-01
1,16,3,1.18861559e-01,-4.66748502e-01
1,17,0,1.03882324e-01,-4.02920384e-01
1,17,1,-3.90203475e-01,2.91623021e-01
1,17,2,-4.81720920e-01,-2.87651813e-01
1,17,3,1.19328640e-01,-4.66529701e-01
1,18,0,1.04242734e-01,-4.03212500e-01
1,18,1,-3.89516667e-01,2.92415137e-01
1,18,2,-4.82914228e-01,-2.88520590e-01
1,18,3,1.19791695e-01,-4.66322218e-01
1,19,0,1.04623164e-01,-4.03514501e-01
1,19,1,-3.88796740e-01,2.93248321e-01
1,19,2,-4.84141170e-01,-2.89421943e-01
1,19,3,1.20251024e-01,-4.66126306e-01
1,20,0,1.05024157e-01,-4.03826733e-01
1,20,1,-3.88043155e-01,2.94123420e-01
1,20,2,-4.85402568e-01,-2.90356504e-01
1,20,3,1.20706935e-01,-4.65942243e-01
1,21,0,1.05446293e-01,-4.04149569e-01
1,21,1,-3.87255325e-01,2.95041331e-01
1,21,2,-4.86699296e-01,-2.91324940e-01
1,21,3,1.21159738e-01,-4.65770336e-01
1,22,0,1.05890187e-01,-4.04483406e-01
1,22,1,-3.86432610e-01,2.96003010e-01
1,22,2,-4.88032283e-01,-2.92327946e-01
1,22,3,1.21609756e-01,-4.65610921e-01
1,23,0,1.06356496e-01,-4.04828670e-01
1,23,1,-3.85574319e-01,2.97009462e-01
1,23,2,-4.89402518e-01,-2.93366253e-01
1,23,3,1.22057316e-01,-4.65464360e-01
1,24,0,1.06845918e-01,-4.05185814e-01
1,24,1,-3.84679707e-01,2.98061756e-01
1,24,2,-4.90811048e-01,-2.94440623e-01
1,24,3,1.22502757e-01,-4.65331049e-01
1,25,0,1.07359191e-01,-4.05555320e-01
1,25,1,-3.83747972e-01,2.99161014e-01
1,25,2,-4.92258979e-01,-2.95551856e-01
1,25,3,1.22946426e-01,-4.65211415e-01
1,26,0,1.07897098e-01,-4.05937707e-01
1,26,1,-3.82778254e-01,3.00308422e-01
1,26,2,-4.93747484e-01,-2.96700781e-01
1,26,3,1.23388684e-01,-4.65105922e-01
1,27,0,1.08460469e-01,-4.06333523e-01
1,27,1,-3.81769629e-01,3.01505229e-01
1,27,2,-4.95277797e-01,-2.97888267e-01
1,27,3,1.23829902e-01,-4.65015066e-01
1,28,0,1.09050178e-01,-4.06743359e-01
1,28,1,-3.80721110e-01,3.02752748e-01
1,28,2,-4.96851220e-01,-2.99115217e-01
1,28,3,1.24270464e-01,-4.64939387e-01
1,29,0,1.09667153e-01,-4.07167840e-01
1,29,1,-3.79631642e-01,3.04052361e-01
1,29,2,-4.98469125e-01,-3.00382571e-01
1,29,3,1.24710770e-01,-4.64879461e-01
1,30,0,1.10312367e-01,-4.07607638e-01
1,30,1,-3.78500095e-01,3.05405519e-01
1,30,2,-5.00132951e-01,-3.01691307e-01
1,30,3,1.25151234e-01,-4.64835911e-01
1,31,0,1.10986851e-01,-4.08063469e-01
1,31,1,-3.77325267e-01,3.06813748e-01
1,31,2,-5.01844214e-01,-3.03042441e-01
1,31,3,1.25592286e-01,-4.64809406e-01
1,32,0,1.11691688e-01,-4.08536099e-01
1,32,1,-3.76105872e-01,3.08278648e-01
1,32,2,-5.03604501e-01,-3.04437028e-01
1,32,3,1.26034372e-01,-4.64800663e-01
1,33,0,1.12428017e-01,-4.09026348e-01
1,33,1,-3.74840541e-01,3.09801900e-01
1,33,2,-5.05415479e-01,-3.05876161e-01
1,33,3,1.26477958e-01,-4.64810457e-01
1,34,0,1.13197038e-01,-4.09535094e-01
1,34,1,-3.73527813e-01,3.11385267e-01
1,34,2,-5.07278891e-01,-3.07360975e-01
1,34,3,1.26923528e-01,-4.64839615e-01
1,35,0,1.14000008e-01,-4.10063277e-01
1,35,1,-3.72166131e-01,3.13030599e-01
1,35,2,-5.09196563e-01,-3.08892645e-01
1,35,3,1.27371584e-01,-4.64889032e-01
1,36,0,1.14838248e-01,-4.10611907e-01
1,36,1,-3.70753833e-01,3.14739835e-01
1,36,2,-5.11170402e-01,-3.10472387e-01
1,36,3,1.27822651e-01,-4.64959665e-01
1,37,0,1.15713142e-01,-4.11182067e-01
1,37,1,-3.69289147e-01,3.16515011e-01
1,37,2,-5.13202399e-01,-3.12101457e-01
1,37,3,1.28277274e-01,-4.65052546e-01
1,38,0,1.16626139e-01,-4.11774922e-01
1,38,1,-3.67770184e-01,3.18358259e-01
1,38,2,-5.15294629e-01,-3.13781154e-01
1,38,3,1.28736018e-01,-4.65168785e-01
1,39,0,1.17578754e-01,-4.12391725e-01
1,39,1,-3.66194925e-01,3.20271817e-01
1,39,2,-5.17449256e-01,-3.15512817e-01
1,39,3,1.29199473e-01,-4.65309578e-01
1,40,0,1.18572570e-01,-4.13033828e-01
1,40,1,-3.64561218e-01,3.22258028e-01
1,40,2,-5.19668529e-01,-3.17297827e-01
1,40,3,1.29668247e-01,-4.65476212e-01
1,41,0,1.19609235e-01,-4.13702686e-01
1,41,1,-3.62866759e-01,3.24319352e-01
1,41,2,-5.21954783e-01,-3.19137606e-01
1,41,3,1.30142972e-01,-4.65670076e-01
1,42,0,1.20690467e-01,-4.14399875e-01
1,42,1,-3.61109088e-01,3.26458367e-01
1,42,2,-5.24310441e-01,-3.21033613e-01
1,42,3,1.30624302e-01,-4.65892669e-01
1,43,0,1.21818048e-01,-4.15127097e-01
1,43,1,-3.59285570e-01,3.28677773e-01
1,43,2,-5.26738010e-01,-3.22987347e-01
1,43,3,1.31112911e-01,-4.66145612e-01
1,44,0,1.22993828e-01,-4.15886198e-01
1,44,1,-3.57393385e-01,3.30980405e-01
1,44,2,-5.29240081e-01,-3.25000344e-01
1,44,3,1.31609489e-01,-4.66430655e-01
1,45,0,1.24219716e-01,-4.16679178e-01
1,45,1,-3.55429511e-01,3.33369231e-01
1,45,2,-5.31819323e-01,-3.27074172e-01
1,45,3,1.32114747e-01,-4.66749695e-01
1,46,0,1.25497683e-01,-4.17508213e-01
1,46,1,-3.53390704e-01,3.35847365e-01
1,46,2,-5.34478482e-01,-3.29210430e-01
1,46,3,1.32629406e-01,-4.67104789e-01
1,47,0,1.26829751e-01,-4.18375671e-01
1,47,1,-3.51273479e-01,3.38418071e-01
1,47,2,-5.37220371e-01,-3.31410746e-01
1,47,3,1.33154201e-01,-4.67498169e-01
1,48,0,1.28217988e-01,-4.19284133e-01
1,48,1,-3.49074094e-01,3.41084769e-01
1,48,2,-5.40047867e-01,-3.33676767e-01
1,48,3,1.33689870e-01,-4.67932260e-01
1,49,0,1.29664500e-01,-4.20236418e-01
1,49,1,-3.46788515e-01,3.43851046e-01
1,49,2,-5.42963894e-01,-3.36010157e-01
1,49,3,1.34237149e-01,-4.68409702e-01
1,50,0,1.31171417e-01,-4.21235610e-01
1,50,1,-3.44412402e-01,3.46720658e-01
1,50,2,-5.45971418e-01,-3.38412589e-01
1,50,3,1.34796768e-01,-4.68933372e-01
