seed,train_acc,val_acc,ce,events,p0,p1,p2,p3,N0,N1,N2,N3,outcome
1,1.000000,0.990000,0.023394,1,1,2,1,1,0.528893,0.287688,2.813556,0.365617,solved
2,1.000000,1.000000,0.003444,0,1,1,1,1,0.181093,1.579837,0.330117,1.086451,solved
3,1.000000,0.990000,0.020903,2,1,2,1,2,0.229369,0.679442,2.128124,4.325503,solved
5,1.000000,0.990000,0.017305,0,1,1,1,1,0.362021,1.576078,0.577391,0.674411,solved
7,1.000000,1.000000,0.005655,0,1,1,1,1,0.397476,0.675482,0.566875,0.555078,solved
11,1.000000,1.000000,0.002137,3,1,2,2,2,2.651643,1.251020,0.213642,0.164923,solved
13,1.000000,1.000000,0.000731,0,1,1,1,1,2.152620,3.279955,2.169652,1.160237,solved
17,1.000000,1.000000,0.003570,1,2,1,1,1,0.460592,2.124719,0.460376,2.106663,solved
19,1.000000,1.000000,0.001073,2,2,1,1,2,1.344005,1.819259,1.826216,1.490917,solved
23,1.000000,1.000000,0.000112,0,1,1,1,1,0.142801,0.610928,1.532860,0.119223,solved
