seed,epoch,entry,prevP,newP,normBefore,normAfter,sq0_at,sq1_at,sq2_at,sq3_at
2,111,1,1,2,-1.36703655e-03,3.25841539e-01,7.36814611e-01,2.13922957e-02,-6.11132199e-01,-4.13808980e-01
3,57,1,1,2,-2.51861415e-03,1.86864079e-01,3.75019661e-01,1.34882152e-02,3.59542274e-01,-1.18615536e-01
3,108,2,1,2,-2.71768561e-05,3.12486100e-01,1.30927944e-01,2.86499021e-02,-1.06343639e-01,-8.17383056e-02
3,955,0,1,2,-2.16527941e-04,2.95337157e-01,1.15367929e+00,3.84047846e-01,1.02124861e+00,6.60103361e-01
5,23,2,1,2,-1.81512850e-04,1.95018877e-01,3.72037437e-01,-1.72007868e-01,4.06258162e-01,-5.59855325e-02
5,45,1,1,2,-1.44332138e-03,2.36710290e-01,1.93358963e-01,2.16569151e-02,-1.28199175e-01,1.51211784e-01
13,87,3,1,2,-1.90217761e-03,1.63728309e-01,1.42135143e-01,-5.70848913e-01,4.14967046e-01,4.19255780e-01
17,48,3,1,2,-2.16633968e-03,3.32273257e-01,2.45230105e-01,2.44559651e-02,-1.22767697e-01,2.18701465e-01
19,41,1,1,2,-6.09185276e-03,2.15947217e-01,1.20204582e-01,2.21624517e-01,-2.54084622e-01,-7.14102634e-02
19,987,0,1,2,-5.13832113e-06,2.89169647e-01,1.01686186e+00,1.91805281e-01,2.75306715e-02,-1.03442956e+00
