seed,epoch,token,sq0,sq1,sq2,sq3,N,p
1,0,0,5.89438984e-01,8.74164298e-02,-2.05651316e-02,-3.04963942e-02,3.53726993e-01,1
1,0,1,4.58811406e-01,1.29672547e-03,-7.68065824e-02,5.41071760e-02,2.01682751e-01,1
1,1,0,5.89438360e-01,8.74192108e-02,-2.05651726e-02,-3.04934282e-02,3.53726923e-01,1
1,1,1,4.58681093e-01,1.24539175e-03,-7.67263062e-02,5.42445550e-02,2.01560498e-01,1
1,2,0,5.89437811e-01,8.74221575e-02,-2.05652908e-02,-3.04903074e-02,3.53726977e-01,1
1,2,1,4.58552963e-01,1.19514882e-03,-7.66472232e-02,5.43793282e-02,2.01440340e-01,1
1,3,0,5.89437333e-01,8.74252612e-02,-2.05654820e-02,-3.04870404e-02,3.53727147e-01,1
1,3,1,4.58426910e-01,1.14594292e-03,-7.65692754e-02,5.45116233e-02,2.01322174e-01,1
1,4,0,5.89436923e-01,8.74285132e-02,-2.05657425e-02,-3.04836353e-02,3.53727429e-01,1
1,4,1,4.58302832e-01,1.09772312e-03,-7.64924081e-02,5.46415612e-02,2.01205902e-01,1
1,5,0,5.89436576e-01,8.74319055e-02,-2.05660685e-02,-3.04800998e-02,3.53727816e-01,1
1,5,1,4.58180636e-01,1.05044108e-03,-7.64165698e-02,5.47692566e-02,2.01091435e-01,1
1,6,0,5.89436291e-01,8.74354305e-02,-2.05664566e-02,-3.04764412e-02,3.53728303e-01,1
1,6,1,4.58060230e-01,1.00405099e-03,-7.63417118e-02,5.48948179e-02,2.00978685e-01,1
1,7,0,5.89436064e-01,8.74390810e-02,-2.05669034e-02,-3.04726664e-02,3.53728886e-01,1
1,7,1,4.57941531e-01,9.58509387e-04,-7.62677882e-02,5.50183478e-02,2.00867570e-01,1
1,8,0,5.89435893e-01,8.74428501e-02,-2.05674060e-02,-3.04687821e-02,3.53729559e-01,1
1,8,1,4.57824458e-01,9.13775072e-04,-7.61947557e-02,5.51399435e-02,2.00758015e-01,1
1,9,0,5.89435774e-01,8.74467312e-02,-2.05679612e-02,-3.04647944e-02,3.53730318e-01,1
1,9,1,4.57708935e-01,8.69808962e-04,-7.61225735e-02,5.52596972e-02,2.00649945e-01,1
1,10,0,5.89435706e-01,8.74507182e-02,-2.05685664e-02,-3.04607093e-02,3.53731159e-01,1
1,10,1,4.57594890e-01,8.26573992e-04,-7.60512028e-02,5.53776962e-02,2.00543292e-01,1
1,11,0,5.89435686e-01,8.74548052e-02,-2.05692187e-02,-3.04565324e-02,3.53732078e-01,1
1,11,1,4.57482256e-01,7.84035013e-04,-7.59806072e-02,5.54940232e-02,2.00437990e-01,1
1,12,0,5.89435712e-01,8.74589867e-02,-2.05699158e-02,-3.04522690e-02,3.53733070e-01,1
1,12,1,4.57370968e-01,7.42158688e-04,-7.59107522e-02,5.56087565e-02,2.00333977e-01,1
1,13,0,5.89435781e-01,8.74632573e-02,-2.05706551e-02,-3.04479241e-02,3.53734133e-01,1
1,13,1,4.57260965e-01,7.00913400e-04,-7.58416052e-02,5.57219703e-02,2.00231194e-01,1
1,14,0,5.89435892e-01,8.74676121e-02,-2.05714345e-02,-3.04435026e-02,3.53735263e-01,1
1,14,1,4.57152190e-01,6.60269163e-04,-7.57731354e-02,5.58337350e-02,2.00129587e-01,1
1,15,0,5.89436042e-01,8.74720464e-02,-2.05722518e-02,-3.04390089e-02,3.53736456e-01,1
1,15,1,4.57044589e-01,6.20197536e-04,-7.57053138e-02,5.59441171e-02,2.00029103e-01,1
1,16,0,5.89436231e-01,8.74765555e-02,-2.05731049e-02,-3.04344474e-02,3.53737710e-01,1
1,16,1,4.56938110e-01,5.80671541e-04,-7.56381128e-02,5.60531800e-02,1.99929691e-01,1
1,17,0,5.89436456e-01,8.74811353e-02,-2.05739918e-02,-3.04298221e-02,3.53739021e-01,1
1,17,1,4.56832705e-01,5.41665593e-04,-7.55715063e-02,5.61609833e-02,1.99831305e-01,1
1,18,0,5.89436715e-01,8.74857817e-02,-2.05749108e-02,-3.04251370e-02,3.53740387e-01,1
1,18,1,4.56728326e-01,5.03155423e-04,-7.55054697e-02,5.62675839e-02,1.99733900e-01,1
1,19,0,5.89437007e-01,8.74904909e-02,-2.05758601e-02,-3.04203956e-02,3.53741804e-01,1
1,19,1,4.56624931e-01,4.65118010e-04,-7.54399797e-02,5.63730356e-02,1.99637434e-01,1
1,20,0,5.89437330e-01,8.74952591e-02,-2.05768380e-02,-3.04156014e-02,3.53743271e-01,1
1,20,1,4.56522477e-01,4.27531519e-04,-7.53750142e-02,5.64773894e-02,1.99541867e-01,1
1,21,0,5.89437683e-01,8.75000830e-02,-2.05778430e-02,-3.04107578e-02,3.53744785e-01,1
1,21,1,4.56420927e-01,3.90375235e-04,-7.53105524e-02,5.65806935e-02,1.99447161e-01,1
1,22,0,5.89438065e-01,8.75049593e-02,-2.05788735e-02,-3.04058679e-02,3.53746344e-01,1
1,22,1,4.56320242e-01,3.53629511e-04,-7.52465745e-02,5.66829938e-02,1.99353279e-01,1
1,23,0,5.89438475e-01,8.75098848e-02,-2.05799282e-02,-3.04009345e-02,3.53747945e-01,1
1,23,1,4.56220387e-01,3.17275706e-04,-7.51830618e-02,5.67843339e-02,1.99260189e-01,1
1,24,0,5.89438910e-01,8.75148567e-02,-2.05810057e-02,-3.03959606e-02,3.53749587e-01,1
1,24,1,4.56121330e-01,2.81296139e-04,-7.51199965e-02,5.68847548e-02,1.99167857e-01,1
1,25,0,5.89439370e-01,8.75198720e-02,-2.05821047e-02,-3.03909488e-02,3.53751267e-01,1
1,25,1,4.56023037e-01,2.45674035e-04,-7.50573619e-02,5.69842957e-02,1.99076253e-01,1
1,26,0,5.89439855e-01,8.75249282e-02,-2.05832241e-02,-3.03859015e-02,3.53752983e-01,1
1,26,1,4.55925480e-01,2.10393480e-04,-7.49951420e-02,5.70829936e-02,1.98985349e-01,1
1,27,0,5.89440362e-01,8.75300227e-02,-2.05843626e-02,-3.03808213e-02,3.53754735e-01,1
1,27,1,4.55828631e-01,1.75439375e-04,-7.49333218e-02,5.71808837e-02,1.98895115e-01,1
1,28,0,5.89440891e-01,8.75351532e-02,-2.05855193e-02,-3.03757103e-02,3.53756520e-01,1
1,28,1,4.55732461e-01,1.40797396e-04,-7.48718870e-02,5.72779993e-02,1.98805527e-01,1
1,29,0,5.89441441e-01,8.75403173e-02,-2.05866930e-02,-3.03705706e-02,3.53758336e-01,1
1,29,1,4.55636945e-01,1.06453950e-04,-7.48108240e-02,5.73743721e-02,1.98716559e-01,1
1,30,0,5.89442011e-01,8.75455130e-02,-2.05878828e-02,-3.03654044e-02,3.53760182e-01,1
1,30,1,4.55542060e-01,7.23961435e-05,-7.47501201e-02,5.74700320e-02,1.98628189e-01,1
1,31,0,5.89442600e-01,8.75507382e-02,-2.05890878e-02,-3.03602136e-02,3.53762057e-01,1
1,31,1,4.55447783e-01,3.86117391e-05,-7.46897629e-02,5.75650075e-02,1.98540393e-01,1
1,32,0,5.89443207e-01,8.75559910e-02,-2.05903071e-02,-3.03549999e-02,3.53763959e-01,1
1,32,1,4.55354090e-01,5.08912625e-06,-7.46297410e-02,5.76593257e-02,1.98453151e-01,1
1,33,0,5.89443832e-01,8.75612695e-02,-2.05915398e-02,-3.03497651e-02,3.53765887e-01,1
1,33,1,4.55260963e-01,-2.81827127e-05,-7.45700435e-02,5.77530120e-02,1.98366443e-01,1
1,34,0,5.89444473e-01,8.75665720e-02,-2.05927851e-02,-3.03445108e-02,3.53767840e-01,1
1,34,1,4.55168381e-01,-6.12142332e-05,-7.45106599e-02,5.78460910e-02,1.98280250e-01,1
1,35,0,5.89445131e-01,8.75718969e-02,-2.05940424e-02,-3.03392387e-02,3.53769816e-01,1
1,35,1,4.55076325e-01,-9.40153574e-05,-7.44515804e-02,5.79385856e-02,1.98194553e-01,1
1,36,0,5.89445804e-01,8.75772425e-02,-2.05953109e-02,-3.03339501e-02,3.53771814e-01,1
1,36,1,4.54984778e-01,-1.26595502e-04,-7.43927956e-02,5.80305177e-02,1.98109336e-01,1
1,37,0,5.89446492e-01,8.75826075e-02,-2.05965899e-02,-3.03286464e-02,3.53773834e-01,1
1,37,1,4.54893724e-01,-1.58963604e-04,-7.43342966e-02,5.81219082e-02,1.98024582e-01,1
1,38,0,5.89447195e-01,8.75879904e-02,-2.05978787e-02,-3.03233290e-02,3.53775874e-01,1
1,38,1,4.54803146e-01,-1.91128146e-04,-7.42760750e-02,5.82127767e-02,1.97940275e-01,1
1,39,0,5.89447910e-01,8.75933899e-02,-2.05991769e-02,-3.03179992e-02,3.53777934e-01,1
1,39,1,4.54713029e-01,-2.23097179e-04,-7.42181228e-02,5.83031420e-02,1.97856402e-01,1
1,40,0,5.89448639e-01,8.75988047e-02,-2.06004837e-02,-3.03126580e-02,3.53780012e-01,1
1,40,1,4.54623358e-01,-2.54878345e-04,-7.41604324e-02,5.83930219e-02,1.97772948e-01,1
1,41,0,5.89449381e-01,8.76042337e-02,-2.06017987e-02,-3.03073066e-02,3.53782107e-01,1
1,41,1,4.54534121e-01,-2.86478900e-04,-7.41029966e-02,5.84824333e-02,1.97689900e-01,1
1,42,0,5.89450134e-01,8.76096756e-02,-2.06031213e-02,-3.03019462e-02,3.53784220e-01,1
1,42,1,4.54445304e-01,-3.17905731e-04,-7.40458084e-02,5.85713921e-02,1.97607246e-01,1
1,43,0,5.89450900e-01,8.76151294e-02,-2.06044511e-02,-3.02965776e-02,3.53786348e-01,1
1,43,1,4.54356895e-01,-3.49165375e-04,-7.39888614e-02,5.86599137e-02,1.97524973e-01,1
1,44,0,5.89451676e-01,8.76205942e-02,-2.06057875e-02,-3.02912018e-02,3.53788492e-01,1
1,44,1,4.54268882e-01,-3.80264040e-04,-7.39321493e-02,5.87480126e-02,1.97443070e-01,1
1,45,0,5.89452463e-01,8.76260689e-02,-2.06071302e-02,-3.02858198e-02,3.53790650e-01,1
1,45,1,4.54181255e-01,-4.11207622e-04,-7.38756663e-02,5.88357023e-02,1.97361527e-01,1
