seed,epoch,token,sq0,sq1,sq2,sq3,N,p
1,0,0,5.89438984e-01,8.74164298e-02,-2.05651316e-02,-3.04963942e-02,3.53726993e-01,1
1,0,1,4.58811406e-01,1.29672547e-03,-7.68065824e-02,5.41071760e-02,2.01682751e-01,1
1,1,0,5.89479241e-01,8.73984765e-02,-2.04260811e-02,-3.05023037e-02,3.53776654e-01,1
1,1,1,4.58932345e-01,1.42200314e-03,-7.65282656e-02,5.40009174e-02,2.01848245e-01,1
1,2,0,5.89520393e-01,8.73807463e-02,-2.02866462e-02,-3.05081415e-02,3.53827394e-01,1
1,2,1,4.59056798e-01,1.54709923e-03,-7.62507979e-02,5.38940452e-02,2.02016785e-01,1
1,3,0,5.89562439e-01,8.73632390e-02,-2.01468234e-02,-3.05139071e-02,3.53879212e-01,1
1,3,1,4.59184770e-01,1.67201841e-03,-7.59741733e-02,5.37865587e-02,2.02188379e-01,1
1,4,0,5.89605379e-01,8.73459544e-02,-2.00066094e-02,-3.05196003e-02,3.53932108e-01,1
1,4,1,4.59316264e-01,1.79676532e-03,-7.56983858e-02,5.36784569e-02,2.02363037e-01,1
1,5,0,5.89649213e-01,8.73288925e-02,-1.98660008e-02,-3.05252205e-02,3.53986083e-01,1
1,5,1,4.59451287e-01,1.92134459e-03,-7.54234296e-02,5.35697392e-02,2.02540766e-01,1
1,6,0,5.89693941e-01,8.73120531e-02,-1.97249942e-02,-3.05307673e-02,3.54041135e-01,1
1,6,1,4.59589842e-01,2.04576083e-03,-7.51492990e-02,5.34604045e-02,2.02721576e-01,1
1,7,0,5.89739563e-01,8.72954361e-02,-1.95835859e-02,-3.05362403e-02,3.54097266e-01,1
1,7,1,4.59731936e-01,2.17001863e-03,-7.48759883e-02,5.33504521e-02,2.02905478e-01,1
1,8,0,5.89786079e-01,8.72790415e-02,-1.94417726e-02,-3.05416390e-02,3.54154475e-01,1
1,8,1,4.59877574e-01,2.29412256e-03,-7.46034918e-02,5.32398808e-02,2.03092480e-01,1
1,9,0,5.89833489e-01,8.72628693e-02,-1.92995506e-02,-3.05469630e-02,3.54212764e-01,1
1,9,1,4.60026763e-01,2.41807717e-03,-7.43318040e-02,5.31286897e-02,2.03282595e-01,1
1,10,0,5.89881795e-01,8.72469194e-02,-1.91569164e-02,-3.05522118e-02,3.54272132e-01,1
1,10,1,4.60179509e-01,2.54188701e-03,-7.40609193e-02,5.30168777e-02,2.03475833e-01,1
1,11,0,5.89930996e-01,8.72311918e-02,-1.90138662e-02,-3.05573848e-02,3.54332580e-01,1
1,11,1,4.60335820e-01,2.66555659e-03,-7.37908323e-02,5.29044437e-02,2.03672205e-01,1
1,12,0,5.89981093e-01,8.72156865e-02,-1.88703964e-02,-3.05624817e-02,3.54394109e-01,1
1,12,1,4.60495703e-01,2.78909043e-03,-7.35215376e-02,5.27913866e-02,2.03871724e-01,1
1,13,0,5.90032086e-01,8.72004037e-02,-1.87265033e-02,-3.05675019e-02,3.54456719e-01,1
1,13,1,4.60659165e-01,2.91249301e-03,-7.32530298e-02,5.26777050e-02,2.04074402e-01,1
1,14,0,5.90083977e-01,8.71853433e-02,-1.85821831e-02,-3.05724448e-02,3.54520412e-01,1
1,14,1,4.60826215e-01,3.03576883e-03,-7.29853037e-02,5.25633979e-02,2.04280251e-01,1
1,15,0,5.90136766e-01,8.71705054e-02,-1.84374319e-02,-3.05773100e-02,3.54585189e-01,1
1,15,1,4.60996861e-01,3.15892234e-03,-7.27183541e-02,5.24484639e-02,2.04489284e-01,1
1,16,0,5.90190455e-01,8.71558902e-02,-1.82922459e-02,-3.05820969e-02,3.54651051e-01,1
1,16,1,4.61171113e-01,3.28195801e-03,-7.24521757e-02,5.23329016e-02,2.04701516e-01,1
1,17,0,5.90245043e-01,8.71414978e-02,-1.81466211e-02,-3.05868049e-02,3.54717999e-01,1
1,17,1,4.61348980e-01,3.40488029e-03,-7.21867634e-02,5.22167097e-02,2.04916961e-01,1
1,18,0,5.90300532e-01,8.71273284e-02,-1.80005537e-02,-3.05914336e-02,3.54786034e-01,1
1,18,1,4.61530471e-01,3.52769362e-03,-7.19221123e-02,5.20998867e-02,2.05135632e-01,1
1,19,0,5.90356924e-01,8.71133820e-02,-1.78540396e-02,-3.05959822e-02,3.54855159e-01,1
1,19,1,4.61715597e-01,3.65040242e-03,-7.16582172e-02,5.19824311e-02,2.05357544e-01,1
1,20,0,5.90414220e-01,8.70996590e-02,-1.77070748e-02,-3.06004504e-02,3.54925374e-01,1
1,20,1,4.61904368e-01,3.77301111e-03,-7.13950733e-02,5.18643415e-02,2.05582714e-01,1
1,21,0,5.90472421e-01,8.70861594e-02,-1.75596552e-02,-3.06048373e-02,3.54996681e-01,1
1,21,1,4.62096795e-01,3.89552412e-03,-7.11326756e-02,5.17456162e-02,2.05811157e-01,1
1,22,0,5.90531528e-01,8.70728837e-02,-1.74117766e-02,-3.06091425e-02,3.55069083e-01,1
1,22,1,4.62292890e-01,4.01794585e-03,-7.08710193e-02,5.16262536e-02,2.06042889e-01,1
1,23,0,5.90591543e-01,8.70598319e-02,-1.72634348e-02,-3.06133653e-02,3.55142580e-01,1
1,23,1,4.62492665e-01,4.14028071e-03,-7.06100996e-02,5.15062520e-02,2.06277927e-01,1
1,24,0,5.90652467e-01,8.70470045e-02,-1.71146255e-02,-3.06175050e-02,3.55217176e-01,1
1,24,1,4.62696131e-01,4.26253309e-03,-7.03499117e-02,5.13856098e-02,2.06516288e-01,1
1,25,0,5.90714303e-01,8.70344016e-02,-1.69653446e-02,-3.06215611e-02,3.55292872e-01,1
1,25,1,4.62903302e-01,4.38470739e-03,-7.00904510e-02,5.12643251e-02,2.06757990e-01,1
1,26,0,5.90777053e-01,8.70220237e-02,-1.68155876e-02,-3.06255328e-02,3.55369671e-01,1
1,26,1,4.63114189e-01,4.50680801e-03,-6.98317127e-02,5.11423962e-02,2.07003051e-01,1
1,27,0,5.90840717e-01,8.70098710e-02,-1.66653501e-02,-3.06294196e-02,3.55447575e-01,1
1,27,1,4.63328808e-01,4.62883934e-03,-6.95736924e-02,5.10198211e-02,2.07251490e-01,1
1,28,0,5.90905299e-01,8.69979440e-02,-1.65146276e-02,-3.06332206e-02,3.55526587e-01,1
1,28,1,4.63547172e-01,4.75080575e-03,-6.93163854e-02,5.08965979e-02,2.07503325e-01,1
1,29,0,5.90970799e-01,8.69862431e-02,-1.63634157e-02,-3.06369352e-02,3.55606709e-01,1
1,29,1,4.63769294e-01,4.87271166e-03,-6.90597872e-02,5.07727247e-02,2.07758578e-01,1
1,30,0,5.91037221e-01,8.69747686e-02,-1.62117098e-02,-3.06405628e-02,3.55687944e-01,1
1,30,1,4.63995190e-01,4.99456144e-03,-6.88038934e-02,5.06481994e-02,2.08017266e-01,1
1,31,0,5.91104567e-01,8.69635210e-02,-1.60595052e-02,-3.06441025e-02,3.55770295e-01,1
1,31,1,4.64224876e-01,5.11635949e-03,-6.85486995e-02,5.05230201e-02,2.08279412e-01,1
1,32,0,5.91172839e-01,8.69525007e-02,-1.59067972e-02,-3.06475536e-02,3.55853764e-01,1
1,32,1,4.64458366e-01,5.23811020e-03,-6.82942013e-02,5.03971845e-02,2.08545037e-01,1
1,33,0,5.91242040e-01,8.69417083e-02,-1.57535812e-02,-3.06509154e-02,3.55938356e-01,1
1,33,1,4.64695676e-01,5.35981796e-03,-6.80403943e-02,5.02706904e-02,2.08814162e-01,1
1,34,0,5.91312171e-01,8.69311443e-02,-1.55998523e-02,-3.06541870e-02,3.56024073e-01,1
1,34,1,4.64936825e-01,5.48148719e-03,-6.77872743e-02,5.01435357e-02,2.09086809e-01,1
1,35,0,5.91383237e-01,8.69208092e-02,-1.54456056e-02,-3.06573678e-02,3.56110919e-01,1
1,35,1,4.65181827e-01,5.60312229e-03,-6.75348371e-02,5.00157181e-02,2.09363001e-01,1
1,36,0,5.91455239e-01,8.69107035e-02,-1.52908362e-02,-3.06604569e-02,3.56198897e-01,1
1,36,1,4.65430702e-01,5.72472767e-03,-6.72830784e-02,4.98872353e-02,2.09642762e-01,1
1,37,0,5.91528181e-01,8.69008278e-02,-1.51355391e-02,-3.06634535e-02,3.56288010e-01,1
1,37,1,4.65683467e-01,5.84630774e-03,-6.70319941e-02,4.97580848e-02,2.09926115e-01,1
1,38,0,5.91602065e-01,8.68911828e-02,-1.49797093e-02,-3.06663567e-02,3.56378264e-01,1
1,38,1,4.65940140e-01,5.96786695e-03,-6.67815802e-02,4.96282642e-02,2.10213085e-01,1
1,39,0,5.91676895e-01,8.68817690e-02,-1.48233416e-02,-3.06691658e-02,3.56469660e-01,1
1,39,1,4.66200740e-01,6.08940971e-03,-6.65318325e-02,4.94977710e-02,2.10503697e-01,1
1,40,0,5.91752673e-01,8.68725871e-02,-1.46664308e-02,-3.06718798e-02,3.56562204e-01,1
1,40,1,4.66465287e-01,6.21094047e-03,-6.62827471e-02,4.93666027e-02,2.10797976e-01,1
1,41,0,5.91829404e-01,8.68636379e-02,-1.45089717e-02,-3.06744979e-02,3.56655900e-01,1
1,41,1,4.66733801e-01,6.33246370e-03,-6.60343198e-02,4.92347566e-02,2.11095948e-01,1
1,42,0,5.91907090e-01,8.68549220e-02,-1.43509590e-02,-3.06770192e-02,3.56750751e-01,1
1,42,1,4.67006301e-01,6.45398385e-03,-6.57865469e-02,4.91022302e-02,2.11397641e-01,1
1,43,0,5.91985735e-01,8.68464401e-02,-1.41923872e-02,-3.06794427e-02,3.56846763e-01,1
1,43,1,4.67282810e-01,6.57550540e-03,-6.55394244e-02,4.89690206e-02,2.11703081e-01,1
1,44,0,5.92065343e-01,8.68381930e-02,-1.40332509e-02,-3.06817676e-02,3.56943940e-01,1
1,44,1,4.67563349e-01,6.69703285e-03,-6.52929484e-02,4.88351251e-02,2.12012297e-01,1
1,45,0,5.92145918e-01,8.68301814e-02,-1.38735445e-02,-3.06839929e-02,3.57042286e-01,1
1,45,1,4.67847938e-01,6.81857070e-03,-6.50471151e-02,4.87005409e-02,2.12325316e-01,1
